date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2008-12-10,1.08,,,,,,,,,,,,,
2008-12-11,0.75,,,,,,,,,,,,,
2008-12-12,0.8,,,,,,,,,,,,,
2008-12-15,0.69,,,,,,,,,,,,,
2008-12-16,0.74,,,,,,,,,,,,,
2008-12-17,0.71,,,,,,,,,,,,,
2008-12-18,0.63,,,,,,,,,,,,,
2008-12-19,0.7,,,,,,,,,,,,,
2008-12-22,0.67,,,,,,,,,,,,,
2008-12-23,0.69,,,,,,,,,,,,,
2008-12-24,0.71,,,,,,,,,,,,,
2008-12-26,0.73,,,,,,,,,,,,,
2008-12-29,0.65,,,,,,,,,,,,,
2008-12-30,0.65,,,,,,,,,,,,,
2008-12-31,0.74,,,,,,,,,,,,,
2009-01-02,0.81,,,,,,,,,,,,,
2009-01-05,0.82,,,,,,,,,,,,,
2009-01-06,1.06,,,,,,,,,,,,,
2009-01-07,1.09,,,,,,,,,,,,,
2009-01-08,1.1,,,,,,,,,,,,,
2009-01-09,0.97,,,,,,,,,,,,,
2009-01-12,0.85,,,,,,,,,,,,,
2009-01-13,0.91,,,,,,,,,,,,,
2009-01-14,0.7,,,,,,,,,,,,,
2009-01-15,0.69,,,,,,,,,,,,,
2009-01-16,0.69,,,,,,,,,,,,,
2009-01-20,0.55,,,,,,,,,,,,,
2009-01-21,0.6,,,,,,,,,,,,,
2009-01-22,0.6,,,,,,,,,,,,,
2009-01-23,0.61,,,,,,,,,,,,,
2009-01-26,0.66,,,,,,,,,,,,,
2009-01-27,0.76,,,,,,,,,,,,,
2009-01-28,0.85,,,,,,,,,,,,,
2009-01-29,0.77,,,,,,,,,,,,,
2009-01-30,0.73,,,,,,,,,,,,,
2009-02-02,0.84,,,,,,,,,,,,,
2009-02-03,0.83,,,,,,,,,,,,,
2009-02-04,0.77,,,,,,,,,,,,,
2009-02-05,0.81,,,,,,,,,,,,,
2009-02-06,0.87,,,,,,,,,,,,,
2009-02-09,0.79,,,,,,,,,,,,,
2009-02-10,0.59,,,,,,,,,,,,,
2009-02-11,0.67,,,,,,,,,,,,,
2009-02-12,0.64,,,,,,,,,,,,,
2009-02-13,0.65,,,,,,,,,,,,,
2009-02-17,0.53,,,,,,,,,,,,,
2009-02-18,0.5,,,,,,,,,,,,,
2009-02-19,0.48,,,,,,,,,,,,,
2009-02-20,0.44,,,,,,,,,,,,,
2009-02-23,0.41,,,,,,,,,,,,,
2009-02-24,0.47,,,,,,,,,,,,,
2009-02-25,0.4,,,,,,,,,,,,,
2009-02-26,0.37,,,,,,,,,,,,,
2009-02-27,0.36,,,,,,,,,,,,,
2009-03-02,0.33,,,,,,,,,,,,,
2009-03-03,0.28,,,,,,,,,,,,,
2009-03-04,0.3,,,,,,,,,,,,,
2009-03-05,0.21,,,,,,,,,,,,,
2009-03-06,0.23,,,,,,,,,,,,,
2009-03-09,0.2,,,,,,,,,,,,,
2009-03-10,0.4,,,,,,,,,,,,,
2009-03-11,0.25,,,,,,,,,,,,,
2009-03-12,0.28,,,,,,,,,,,,,
2009-03-13,0.31,,,,,,,,,,,,,
2009-03-16,0.41,,,,,,,,,,,,,
2009-03-17,0.49,,,,,,,,,,,,,
2009-03-18,0.51,,,,,,,,,,,,,
2009-03-19,0.47,,,,,,,,,,,,,
2009-03-20,0.49,,,,,,,,,,,,,
2009-03-23,0.56,,,,,,,,,,,,,
2009-03-24,0.5,,,,,,,,,,,,,
2009-03-25,0.55,,,,,,,,,,,,,
2009-03-26,0.64,,,,,,,,,,,,,
2009-03-27,0.59,,,,,,,,,,,,,
2009-03-30,0.49,,,,,,,,,,,,,
2009-03-31,0.46,,,,,,,,,,,,,
2009-04-01,0.49,,,,,,,,,,,,,
2009-04-02,0.55,,,,,,,,,,,,,
2009-04-03,0.66,,,,,,,,,,,,,
2009-04-06,0.65,,,,,,,,,,,,,
2009-04-07,0.57,,,,,,,,,,,,,
2009-04-08,0.63,,,,,,,,,,,,,
2009-04-09,0.71,,,,,,,,,,,,,
2009-04-13,0.72,,,,,,,,,,,,,
2009-04-14,0.73,,,,,,,,,,,,,
2009-04-15,0.75,,,,,,,,,,,,,
2009-04-16,0.77,,,,,,,,,,,,,
2009-04-17,0.86,,,,,,,,,,,,,
2009-04-20,0.76,,,,,,,,,,,,,
2009-04-21,0.82,,,,,,,,,,,,,
2009-04-22,0.8,,,,,,,,,,,,,
2009-04-23,0.69,,,,,,,,,,,,,
2009-04-24,0.73,,,,,,,,,,,,,
2009-04-27,0.7,,,,,,,,,,,,,
2009-04-28,0.69,,,,,,,,,,,,,
2009-04-29,0.73,,,,,,,,,,,,,
2009-04-30,0.79,,,,,,,,,,,,,
2009-05-01,0.73,,,,,,,,,,,,,
2009-05-04,0.88,,,,,,,,,,,,,
2009-05-05,1.47,,,,,,,,,,,,,
2009-05-06,1.98,,,,,,,,,,,,,
2009-05-07,1.69,,,,,,,,,,,,,
2009-05-08,2.24,,,,,,,,,,,,,
2009-05-11,2.02,,,,,,,,,,,,,
2009-05-12,1.77,,,,,,,,,,,,,
2009-05-13,1.43,,,,,,,,,,,,,
2009-05-14,1.56,,,,,,,,,,,,,
2009-05-15,1.45,,,,,,,,,,,,,
2009-05-18,1.61,,,,,,,,,,,,,
2009-05-19,1.64,,,,,,,,,,,,,
2009-05-20,1.59,,,,,,,,,,,,,
2009-05-21,1.39,,,,,,,,,,,,,
2009-05-22,1.34,,,,,,,,,,,,,
2009-05-26,1.42,,,,,,,,,,,,,
2009-05-27,1.4,,,,,,,,,,,,,
2009-05-28,1.4,,,,,,,,,,,,,
2009-05-29,1.31,,,,,,,,,,,,,
2009-06-01,1.33,,,,,,,,,,,,,
2009-06-02,1.3,,,,,,,,,,,,,
2009-06-03,1.26,,,,,,,,,,,,,
2009-06-04,1.31,,,,,,,,,,,,,
2009-06-05,1.3,,,,,,,,,,,,,
2009-06-08,1.27,,,,,,,,,,,,,
2009-06-09,1.52,,,,,,,,,,,,,
2009-06-10,1.88,,,,,,,,,,,,,
2009-06-11,1.84,,,,,,,,,,,,,
2009-06-12,1.79,,,,,,,,,,,,,
2009-06-15,1.51,,,,,,,,,,,,,
2009-06-16,1.45,,,,,,,,,,,,,
2009-06-17,1.38,,,,,,,,,,,,,
2009-06-18,1.41,,,,,,,,,,,,,
2009-06-19,1.53,,,,,,,,,,,,,
2009-06-22,1.33,,,,,,,,,,,,,
2009-06-23,1.19,,,,,,,,,,,,,
2009-06-24,1.14,,,,,,,,,,,,,
2009-06-25,1.24,,,,,,,,,,,,,
2009-06-26,1.35,,,,,,,,,,,,,
2009-06-29,1.35,,,,,,,,,,,,,
2009-06-30,1.28,,,,,,,,,,,,,
2009-07-01,1.37,,,,,,,,,,,,,
2009-07-02,1.38,,,,,,,,,,,,,
2009-07-06,1.38,,,,,,,,,,,,,
2009-07-07,1.29,,,,,,,,,,,,,
2009-07-08,1.17,,,,,,,,,,,,,
2009-07-09,1.25,,,,,,,,,,,,,
2009-07-10,1.73,,,,,,,,,,,,,
2009-07-13,1.91,,,,,,,,,,,,,
2009-07-14,2.04,,,,,,,,,,,,,
2009-07-15,2.15,,,,,,,,,,,,,
2009-07-16,2.15,,,,,,,,,,,,,
2009-07-17,2.12,,,,,,,,,,,,,
2009-07-20,2.59,,,,,,,,,,,,,
2009-07-21,2.49,,,,,,,,,,,,,
2009-07-22,2.67,,,,,,,,,,,,,
2009-07-23,2.81,,,,,,,,,,,,,
2009-07-24,2.98,,,,,,,,,,,,,
2009-07-27,2.97,,,,,,,,,,,,,
2009-07-28,2.85,,,,,,,,,,,,,
2009-07-29,2.88,,,,,,,,,,,,,
2009-07-30,3.07,,,,,,,,,,,,,
2009-07-31,3.51,,,,,,,,,,,,,
2009-08-03,4.32,,,,,,,,,,,,,
2009-08-04,4.65,,,,,,,,,,,,,
2009-08-05,4.67,,,,,,,,,,,,,
2009-08-06,4.0,,,,,,,,,,,,,
2009-08-07,4.75,,,,,,,,,,,,,
2009-08-10,5.01,,,,,,,,,,,,,
2009-08-11,4.65,,,,,,,,,,,,,
2009-08-12,4.85,,,,,,,,,,,,,
2009-08-13,4.62,,,,,,,,,,,,,
2009-08-14,4.48,,,,,,,,,,,,,
2009-08-17,4.22,,,,,,,,,,,,,
2009-08-18,4.62,,,,,,,,,,,,,
2009-08-19,5.13,,,,,,,,,,,,,
2009-08-20,5.62,,,,,,,,,,,,,
2009-08-21,5.71,,,,,,,,,,,,,
2009-08-24,5.44,,,,,,,,,,,,,
2009-08-25,5.78,,,,,,,,,,,,,
2009-08-26,5.74,,,,,,,,,,,,,
2009-08-27,5.71,,,,,,,,,,,,,
2009-08-28,5.46,,,,,,,,,,,,,
2009-08-31,5.23,,,,,,,,,,,,,
2009-09-01,4.85,,,,,,,,,,,,,
2009-09-02,4.66,,,,,,,,,,,,,
2009-09-03,4.87,,,,,,,,,,,,,
2009-09-04,5.07,,,,,,,,,,,,,
2009-09-08,5.05,,,,,,,,,,,,,
2009-09-09,5.29,,,,,,,,,,,,,
2009-09-10,5.36,,,,,,,,,,,,,
2009-09-11,5.61,,,,,,,,,,,,,
2009-09-14,6.18,,,,,,,,,,,,,
2009-09-15,6.47,,,,,,,,,,,,,
2009-09-16,6.51,,,,,,,,,,,,,
2009-09-17,6.18,,,,,,,,,,,,,
2009-09-18,6.24,,,,,,,,,,,,,
2009-09-21,5.75,,,,,,,,,,,,,
2009-09-22,7.13,,,,,,,,,,,,,
2009-09-23,7.05,,,,,,,,,,,,,
2009-09-24,6.83,,,,,,,,,,,,,
2009-09-25,6.75,,,,,,,,,,,,,
2009-09-28,6.68,,,,,,,,,,,,,
2009-09-29,6.51,,,,,,,,,,,,,
2009-09-30,6.81,,,,,,,,,,,,,
2009-10-01,6.3,,,,,,,,,,,,,
2009-10-02,6.05,,,,,,,,,,,,,
2009-10-05,6.35,,,,,,,,,,,,,
2009-10-06,6.72,,,,,,,,,,,,,
2009-10-07,6.74,,,,,,,,,,,,,
2009-10-08,6.88,,,,,,,,,,,,,
2009-10-09,6.95,,,,,,,,,,,,,
2009-10-12,6.99,,,,,,,,,,,,,
2009-10-13,6.88,,,,,,,,,,,,,
2009-10-14,7.1,,,,,,,,,,,,,
2009-10-15,7.21,,,,,,,,,,,,,
2009-10-16,6.75,,,,,,,,,,,,,
2009-10-19,6.92,,,,,,,,,,,,,
2009-10-20,6.97,,,,,,,,,,,,,
2009-10-21,7.09,,,,,,,,,,,,,
2009-10-22,7.24,,,,,,,,,,,,,
2009-10-23,7.01,,,,,,,,,,,,,
2009-10-26,6.81,,,,,,,,,,,,,
2009-10-27,6.5,,,,,,,,,,,,,
2009-10-28,5.74,,,,,,,,,,,,,
2009-10-29,5.98,,,,,,,,,,,,,
2009-10-30,5.66,,,,,,,,,,,,,
2009-11-02,5.8,,,,,,,,,,,,,
2009-11-03,6.06,,,,,,,,,,,,,
2009-11-04,5.94,,,,,,,,,,,,,
2009-11-05,6.01,,,,,,,,,,,,,
2009-11-06,6.62,,,,,,,,,,,,,
2009-11-09,7.02,,,,,,,,,,,,,
2009-11-10,7.0,,,,,,,,,,,,,
2009-11-11,7.27,,,,,,,,,,,,,
2009-11-12,6.9,,,,,,,,,,,,,
2009-11-13,7.09,,,,,,,,,,,,,
2009-11-16,7.29,,,,,,,,,,,,,
2009-11-17,7.2,,,,,,,,,,,,,
2009-11-18,7.25,,,,,,,,,,,,,
2009-11-19,6.98,,,,,,,,,,,,,
2009-11-20,6.82,,,,,,,,,,,,,
2009-11-23,6.94,,,,,,,,,,,,,
2009-11-24,6.91,,,,,,,,,,,,,
2009-11-25,7.21,,,,,,,,,,,,,
2009-11-27,6.98,,,,,,,,,,,,,
2009-11-30,7.28,,,,,,,,,,,,,
2009-12-01,7.86,,,,,,,,,,,,,
2009-12-02,8.04,,,,,,,,,,,,,
2009-12-03,8.26,,,,,,,,,,,,,
2009-12-04,8.24,,,,,,,,,,,,,
2009-12-07,8.21,,,,,,,,,,,,,
2009-12-08,8.5,,,,,,,,,,,,,
2009-12-09,8.74,,,,,,,,,,,,,
2009-12-10,8.64,,,,,,,,,,,,,
2009-12-11,9.07,,,,,,,,,,,,,
2009-12-14,9.19,,,,,,,,,,,,,
2009-12-15,9.43,,,,,,,,,,,,,
2009-12-16,9.4,,,,,,,,,,,,,
2009-12-17,9.64,,,,,,,,,,,,,
2009-12-18,10.76,,,,,,,,,,,,,
2009-12-21,10.95,,,,,,,,,,,,,
2009-12-22,10.5,,,,,,,,,,,,,
2009-12-23,10.75,,,,,,,,,,,,,
2009-12-24,10.9,,,,,,,,,,,,,
2009-12-28,10.79,,,,,,,,,,,,,
2009-12-29,10.89,,,,,,,,,,,,,
2009-12-30,10.85,,,,,,,,,,,,,
2009-12-31,10.84,,,,,,,,,,,,,
2010-01-04,11.14,,,,,,,,,,,,,
2010-01-05,12.0,,,,,,,,,,,,,
2010-01-06,11.59,,,,,,,,,,,,,
2010-01-07,11.6,,,,,,,,,,,,,
2010-01-08,12.02,,,,,,,,,,,,,
2010-01-11,12.4,,,,,,,,,,,,,
2010-01-12,11.28,,,,,,,,,,,,,
2010-01-13,11.64,,,,,,,,,,,,,
2010-01-14,11.83,,,,,,,,,,,,,
2010-01-15,11.56,,,,,,,,,,,,,
2010-01-19,11.45,,,,,,,,,,,,,
2010-01-20,11.25,,,,,,,,,,,,,
2010-01-21,10.76,,,,,,,,,,,,,
2010-01-22,10.2,,,,,,,,,,,,,
2010-01-25,10.09,,,,,,,,,,,,,
2010-01-26,10.23,,,,,,,,,,,,,
2010-01-27,10.47,,,,,,,,,,,,,
2010-01-28,10.36,,,,,,,,,,,,,
2010-01-29,10.31,,,,,,,,,,,,,
2010-02-01,10.73,,,,,,,,,,,,,
2010-02-02,10.78,,,,,,,,,,,,,
2010-02-03,10.9,,,,,,,,,,,,,
2010-02-04,10.07,,,,,,,,,,,,,
2010-02-05,9.72,,,,,,,,,,,,,
2010-02-08,9.51,,,,,,,,,,,,,
2010-02-09,10.24,,,,,,,,,,,,,
2010-02-10,10.34,,,,,,,,,,,,,
2010-02-11,10.44,,,,,,,,,,,,,
2010-02-12,10.43,,,,,,,,,,,,,
2010-02-16,10.65,,,,,,,,,,,,,
2010-02-17,10.8,,,,,,,,,,,,,
2010-02-18,10.9,,,,,,,,,,,,,
2010-02-19,10.99,,,,,,,,,,,,,
2010-02-22,10.89,,,,,,,,,,,,,
2010-02-23,10.64,,,,,,,,,,,,,
2010-02-24,10.94,,,,,,,,,,,,,
2010-02-25,11.05,,,,,,,,,,,,,
2010-02-26,11.37,,,,,,,,,,,,,
2010-03-01,11.5,,,,,,,,,,,,,
2010-03-02,11.27,,,,,,,,,,,,,
2010-03-03,11.66,,,,,,,,,,,,,
2010-03-04,11.73,,,,,,,,,,,,,
2010-03-05,11.9,,,,,,,,,,,,,
2010-03-08,12.0,,,,,,,,,,,,,
2010-03-09,11.92,,,,,,,,,,,,,
2010-03-10,11.63,,,,,,,,,,,,,
2010-03-11,11.83,,,,,,,,,,,,,
2010-03-12,11.73,,,,,,,,,,,,,
2010-03-15,11.81,,,,,,,,,,,,,
2010-03-16,11.95,,,,,,,,,,,,,
2010-03-17,11.93,,,,,,,,,,,,,
2010-03-18,11.77,,,,,,,,,,,,,
2010-03-19,11.94,,,,,,,,,,,,,
2010-03-22,12.56,,,,,,,,,,,,,
2010-03-23,12.89,,,,,,,,,,,,,
2010-03-24,12.81,,,,,,,,,,,,,
2010-03-25,12.48,,,,,,,,,,,,,
2010-03-26,12.48,,,,,,,,,,,,,
2010-03-29,12.4,,,,,,,,,,,,,
2010-03-30,12.25,,,,,,,,,,,,,
2010-03-31,11.88,,,,,,,,,,,,,
2010-04-01,11.78,,,,,,,,,,,,,
2010-04-05,12.46,,,,,,,,,,,,,
2010-04-06,12.46,,,,,,,,,,,,,
2010-04-07,12.49,,,,,,,,,,,,,
2010-04-08,12.6,,,,,,,,,,,,,
2010-04-09,12.89,,,,,,,,,,,,,
2010-04-12,13.29,,,,,,,,,,,,,
