date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2016-04-12,2.977,,,,,,,,,,,,,
2016-04-13,2.98,,,,,,,,,,,,,
2016-04-14,3.096,,,,,,,,,,,,,
2016-04-15,3.097,,,,,,,,,,,,,
2016-04-18,3.153,,,,,,,,,,,,,
2016-04-19,3.205,,,,,,,,,,,,,
2016-04-20,3.15,,,,,,,,,,,,,
2016-04-21,3.153,,,,,,,,,,,,,
2016-04-22,3.181,,,,,,,,,,,,,
2016-04-25,3.113,,,,,,,,,,,,,
2016-04-26,3.147,,,,,,,,,,,,,
2016-04-27,3.183,,,,,,,,,,,,,
2016-04-28,3.175,,,,,,,,,,,,,
2016-04-29,3.185,,,,,,,,,,,,,
2016-05-02,3.141,,,,,,,,,,,,,
2016-05-03,3.074,,,,,,,,,,,,,
2016-05-04,2.961,,,,,,,,,,,,,
2016-05-05,2.852,,,,,,,,,,,,,
2016-05-06,2.772,,,,,,,,,,,,,
2016-05-09,2.646,,,,,,,,,,,,,
2016-05-10,2.663,,,,,,,,,,,,,
2016-05-11,2.627,,,,,,,,,,,,,
2016-05-12,2.695,,,,,,,,,,,,,
2016-05-13,2.629,,,,,,,,,,,,,
2016-05-16,2.616,,,,,,,,,,,,,
2016-05-17,2.68,,,,,,,,,,,,,
2016-05-18,2.634,,,,,,,,,,,,,
2016-05-19,2.597,,,,,,,,,,,,,
2016-05-20,2.61,,,,,,,,,,,,,
2016-05-23,2.682,,,,,,,,,,,,,
2016-05-24,2.706,,,,,,,,,,,,,
2016-05-25,2.82,,,,,,,,,,,,,
2016-05-26,2.776,,,,,,,,,,,,,
2016-05-27,2.857,,,,,,,,,,,,,
2016-05-31,2.929,,,,,,,,,,,,,
2016-06-01,3.107,,,,,,,,,,,,,
2016-06-02,2.984,,,,,,,,,,,,,
2016-06-03,2.958,,,,,,,,,,,,,
2016-06-06,3.0,,,,,,,,,,,,,
2016-06-07,2.986,,,,,,,,,,,,,
2016-06-08,3.009,,,,,,,,,,,,,
2016-06-09,2.941,,,,,,,,,,,,,
2016-06-10,2.828,,,,,,,,,,,,,
2016-06-13,2.799,,,,,,,,,,,,,
2016-06-14,2.905,,,,,,,,,,,,,
2016-06-15,2.866,,,,,,,,,,,,,
2016-06-16,2.837,,,,,,,,,,,,,
2016-06-17,2.894,,,,,,,,,,,,,
2016-06-20,2.977,,,,,,,,,,,,,
2016-06-21,2.987,,,,,,,,,,,,,
2016-06-22,2.981,,,,,,,,,,,,,
2016-06-23,3.12,,,,,,,,,,,,,
2016-06-24,2.907,,,,,,,,,,,,,
2016-06-27,2.716,,,,,,,,,,,,,
2016-06-28,2.854,,,,,,,,,,,,,
2016-06-29,3.032,,,,,,,,,,,,,
2016-06-30,3.076,,,,,,,,,,,,,
2016-07-01,3.083,,,,,,,,,,,,,
2016-07-05,3.061,,,,,,,,,,,,,
2016-07-06,3.065,,,,,,,,,,,,,
2016-07-07,3.037,,,,,,,,,,,,,
2016-07-08,3.1,,,,,,,,,,,,,
2016-07-11,3.185,,,,,,,,,,,,,
2016-07-12,3.249,,,,,,,,,,,,,
2016-07-13,3.199,,,,,,,,,,,,,
2016-07-14,3.21,,,,,,,,,,,,,
2016-07-15,3.232,,,,,,,,,,,,,
2016-07-18,3.22,,,,,,,,,,,,,
2016-07-19,3.326,,,,,,,,,,,,,
2016-07-20,3.309,,,,,,,,,,,,,
2016-07-21,3.273,,,,,,,,,,,,,
2016-07-22,3.287,,,,,,,,,,,,,
2016-07-25,3.26,,,,,,,,,,,,,
2016-07-26,3.255,,,,,,,,,,,,,
2016-07-27,3.321,,,,,,,,,,,,,
2016-07-28,3.427,,,,,,,,,,,,,
2016-07-29,3.427,,,,,,,,,,,,,
2016-08-01,3.405,,,,,,,,,,,,,
2016-08-02,3.353,,,,,,,,,,,,,
2016-08-03,3.679,,,,,,,,,,,,,
2016-08-04,3.685,,,,,,,,,,,,,
2016-08-05,3.701,,,,,,,,,,,,,
2016-08-08,3.831,,,,,,,,,,,,,
2016-08-09,3.879,,,,,,,,,,,,,
2016-08-10,3.929,,,,,,,,,,,,,
2016-08-11,3.991,,,,,,,,,,,,,
2016-08-12,3.938,,,,,,,,,,,,,
2016-08-15,3.908,,,,,,,,,,,,,
2016-08-16,3.837,,,,,,,,,,,,,
2016-08-17,3.874,,,,,,,,,,,,,
2016-08-18,4.025,,,,,,,,,,,,,
2016-08-19,4.241,,,,,,,,,,,,,
2016-08-22,4.247,,,,,,,,,,,,,
2016-08-23,4.176,,,,,,,,,,,,,
2016-08-24,4.094,,,,,,,,,,,,,
2016-08-25,4.063,,,,,,,,,,,,,
2016-08-26,4.152,,,,,,,,,,,,,
2016-08-29,4.139,,,,,,,,,,,,,
2016-08-30,4.129,,,,,,,,,,,,,
2016-08-31,4.136,,,,,,,,,,,,,
2016-09-01,4.067,,,,,,,,,,,,,
2016-09-02,4.242,,,,,,,,,,,,,
2016-09-06,4.319,,,,,,,,,,,,,
2016-09-07,4.278,,,,,,,,,,,,,
2016-09-08,4.321,,,,,,,,,,,,,
2016-09-09,4.104,,,,,,,,,,,,,
2016-09-12,4.163,,,,,,,,,,,,,
2016-09-13,4.057,,,,,,,,,,,,,
2016-09-14,4.09,,,,,,,,,,,,,
2016-09-15,4.177,,,,,,,,,,,,,
2016-09-16,4.149,,,,,,,,,,,,,
2016-09-19,4.295,,,,,,,,,,,,,
2016-09-20,4.246,,,,,,,,,,,,,
2016-09-21,4.45,,,,,,,,,,,,,
2016-09-22,4.386,,,,,,,,,,,,,
2016-09-23,4.335,,,,,,,,,,,,,
2016-09-26,4.32,,,,,,,,,,,,,
2016-09-27,4.387,,,,,,,,,,,,,
2016-09-28,4.275,,,,,,,,,,,,,
2016-09-29,4.296,,,,,,,,,,,,,
2016-09-30,4.292,,,,,,,,,,,,,
2016-10-03,4.303,,,,,,,,,,,,,
2016-10-04,4.341,,,,,,,,,,,,,
2016-10-05,4.377,,,,,,,,,,,,,
2016-10-06,4.368,,,,,,,,,,,,,
2016-10-07,4.436,,,,,,,,,,,,,
2016-10-10,4.373,,,,,,,,,,,,,
2016-10-11,4.23,,,,,,,,,,,,,
2016-10-12,4.239,,,,,,,,,,,,,
2016-10-13,4.209,,,,,,,,,,,,,
2016-10-14,4.282,,,,,,,,,,,,,
2016-10-17,4.202,,,,,,,,,,,,,
2016-10-18,4.248,,,,,,,,,,,,,
2016-10-19,4.339,,,,,,,,,,,,,
2016-10-20,4.315,,,,,,,,,,,,,
2016-10-21,4.348,,,,,,,,,,,,,
2016-10-24,4.386,,,,,,,,,,,,,
2016-10-25,4.349,,,,,,,,,,,,,
2016-10-26,4.303,,,,,,,,,,,,,
2016-10-27,4.135,,,,,,,,,,,,,
2016-10-28,4.084,,,,,,,,,,,,,
2016-10-31,4.145,,,,,,,,,,,,,
2016-11-01,4.078,,,,,,,,,,,,,
2016-11-02,4.357,,,,,,,,,,,,,
2016-11-03,4.041,,,,,,,,,,,,,
2016-11-04,3.915,,,,,,,,,,,,,
2016-11-07,4.015,,,,,,,,,,,,,
2016-11-08,4.135,,,,,,,,,,,,,
2016-11-09,4.058,,,,,,,,,,,,,
2016-11-10,4.009,,,,,,,,,,,,,
2016-11-11,3.966,,,,,,,,,,,,,
2016-11-14,3.79,,,,,,,,,,,,,
2016-11-15,3.992,,,,,,,,,,,,,
2016-11-16,4.036,,,,,,,,,,,,,
2016-11-17,4.202,,,,,,,,,,,,,
2016-11-18,4.405,,,,,,,,,,,,,
2016-11-21,4.489,,,,,,,,,,,,,
2016-11-22,4.296,,,,,,,,,,,,,
2016-11-23,4.305,,,,,,,,,,,,,
2016-11-25,4.327,,,,,,,,,,,,,
2016-11-28,4.249,,,,,,,,,,,,,
2016-11-29,4.259,,,,,,,,,,,,,
2016-11-30,4.167,,,,,,,,,,,,,
2016-12-01,3.967,,,,,,,,,,,,,
2016-12-02,3.905,,,,,,,,,,,,,
2016-12-05,4.057,,,,,,,,,,,,,
2016-12-06,4.09,,,,,,,,,,,,,
2016-12-07,4.072,,,,,,,,,,,,,
2016-12-08,4.263,,,,,,,,,,,,,
2016-12-09,4.222,,,,,,,,,,,,,
2016-12-12,4.204,,,,,,,,,,,,,
2016-12-13,4.227,,,,,,,,,,,,,
2016-12-14,4.175,,,,,,,,,,,,,
2016-12-15,4.241,,,,,,,,,,,,,
2016-12-16,4.205,,,,,,,,,,,,,
2016-12-19,4.187,,,,,,,,,,,,,
2016-12-20,4.142,,,,,,,,,,,,,
2016-12-21,4.08,,,,,,,,,,,,,
2016-12-22,4.017,,,,,,,,,,,,,
2016-12-23,4.134,,,,,,,,,,,,,
2016-12-27,4.364,,,,,,,,,,,,,
2016-12-28,4.322,,,,,,,,,,,,,
2016-12-29,4.31,,,,,,,,,,,,,
2016-12-30,4.287,,,,,,,,,,,,,
2017-01-03,4.282,,,,,,,,,,,,,
2017-01-04,4.414,,,,,,,,,,,,,
2017-01-05,4.768,,,,,,,,,,,,,
2017-01-06,4.69,,,,,,,,,,,,,
2017-01-09,4.718,,,,,,,,,,,,,
2017-01-10,4.787,,,,,,,,,,,,,
2017-01-11,4.833,,,,,,,,,,,,,
2017-01-12,4.858,,,,,,,,,,,,,
2017-01-13,4.81,,,,,,,,,,,,,
2017-01-17,4.952,,,,,,,,,,,,,
2017-01-18,4.998,,,,,,,,,,,,,
2017-01-19,5.066,,,,,,,,,,,,,
2017-01-20,5.009,,,,,,,,,,,,,
2017-01-23,4.944,,,,,,,,,,,,,
2017-01-24,4.942,,,,,,,,,,,,,
2017-01-25,5.136,,,,,,,,,,,,,
2017-01-26,5.101,,,,,,,,,,,,,
2017-01-27,5.154,,,,,,,,,,,,,
2017-01-30,5.07,,,,,,,,,,,,,
2017-01-31,5.082,,,,,,,,,,,,,
2017-02-01,5.119,,,,,,,,,,,,,
2017-02-02,5.232,,,,,,,,,,,,,
2017-02-03,5.212,,,,,,,,,,,,,
2017-02-06,5.268,,,,,,,,,,,,,
2017-02-07,5.313,,,,,,,,,,,,,
2017-02-08,5.337,,,,,,,,,,,,,
2017-02-09,5.461,,,,,,,,,,,,,
2017-02-10,5.522,,,,,,,,,,,,,
2017-02-13,5.605,,,,,,,,,,,,,
2017-02-14,5.605,,,,,,,,,,,,,
2017-02-15,6.061,,,,,,,,,,,,,
2017-02-16,6.097,,,,,,,,,,,,,
2017-02-17,6.152,,,,,,,,,,,,,
2017-02-21,6.308,,,,,,,,,,,,,
2017-02-22,6.359,,,,,,,,,,,,,
2017-02-23,6.273,,,,,,,,,,,,,
2017-02-24,6.175,,,,,,,,,,,,,
2017-02-27,5.993,,,,,,,,,,,,,
2017-02-28,5.921,,,,,,,,,,,,,
2017-03-01,5.965,,,,,,,,,,,,,
2017-03-02,5.967,,,,,,,,,,,,,
2017-03-03,6.029,,,,,,,,,,,,,
2017-03-06,5.932,,,,,,,,,,,,,
2017-03-07,6.013,,,,,,,,,,,,,
2017-03-08,6.091,,,,,,,,,,,,,
2017-03-09,6.239,,,,,,,,,,,,,
2017-03-10,6.415,,,,,,,,,,,,,
2017-03-13,6.493,,,,,,,,,,,,,
2017-03-14,6.383,,,,,,,,,,,,,
2017-03-15,6.484,,,,,,,,,,,,,
2017-03-16,6.499,,,,,,,,,,,,,
2017-03-17,6.699,,,,,,,,,,,,,
2017-03-20,6.886,,,,,,,,,,,,,
2017-03-21,6.719,,,,,,,,,,,,,
2017-03-22,6.671,,,,,,,,,,,,,
2017-03-23,6.758,,,,,,,,,,,,,
2017-03-24,6.898,,,,,,,,,,,,,
2017-03-27,7.04,,,,,,,,,,,,,
2017-03-28,7.237,,,,,,,,,,,,,
2017-03-29,7.272,,,,,,,,,,,,,
2017-03-30,6.905,,,,,,,,,,,,,
2017-03-31,6.809,,,,,,,,,,,,,
2017-04-03,6.923,,,,,,,,,,,,,
2017-04-04,6.853,,,,,,,,,,,,,
2017-04-05,6.789,,,,,,,,,,,,,
2017-04-06,6.852,,,,,,,,,,,,,
2017-04-07,6.871,,,,,,,,,,,,,
2017-04-10,6.928,,,,,,,,,,,,,
2017-04-11,6.906,,,,,,,,,,,,,
2017-04-12,6.925,,,,,,,,,,,,,
2017-04-13,7.063,,,,,,,,,,,,,
2017-04-17,7.17,,,,,,,,,,,,,
2017-04-18,7.158,,,,,,,,,,,,,
2017-04-19,7.264,,,,,,,,,,,,,
2017-04-20,7.606,,,,,,,,,,,,,
2017-04-21,7.638,,,,,,,,,,,,,
2017-04-24,7.583,,,,,,,,,,,,,
2017-04-25,7.665,,,,,,,,,,,,,
2017-04-26,7.412,,,,,,,,,,,,,
2017-04-27,7.309,,,,,,,,,,,,,
2017-04-28,7.595,,,,,,,,,,,,,
2017-05-01,7.726,,,,,,,,,,,,,
2017-05-02,8.298,,,,,,,,,,,,,
2017-05-03,8.172,,,,,,,,,,,,,
2017-05-04,8.135,,,,,,,,,,,,,
2017-05-05,8.553,,,,,,,,,,,,,
2017-05-08,8.678,,,,,,,,,,,,,
2017-05-09,8.915,,,,,,,,,,,,,
2017-05-10,9.306,,,,,,,,,,,,,
2017-05-11,9.202,,,,,,,,,,,,,
2017-05-12,9.358,,,,,,,,,,,,,
2017-05-15,9.424,,,,,,,,,,,,,
2017-05-16,9.493,,,,,,,,,,,,,
2017-05-17,8.984,,,,,,,,,,,,,
2017-05-18,9.211,,,,,,,,,,,,,
2017-05-19,8.887,,,,,,,,,,,,,
2017-05-22,8.96,,,,,,,,,,,,,
2017-05-23,9.002,,,,,,,,,,,,,
2017-05-24,9.081,,,,,,,,,,,,,
2017-05-25,9.022,,,,,,,,,,,,,
2017-05-26,9.074,,,,,,,,,,,,,
2017-05-30,9.057,,,,,,,,,,,,,
2017-05-31,9.186,,,,,,,,,,,,,
2017-06-01,9.344,,,,,,,,,,,,,
2017-06-02,9.753,,,,,,,,,,,,,
2017-06-05,9.748,,,,,,,,,,,,,
2017-06-06,9.861,,,,,,,,,,,,,
2017-06-07,9.699,,,,,,,,,,,,,
2017-06-08,9.884,,,,,,,,,,,,,
2017-06-09,9.145,,,,,,,,,,,,,
2017-06-12,8.889,,,,,,,,,,,,,
2017-06-13,8.693,,,,,,,,,,,,,
2017-06-14,8.536,,,,,,,,,,,,,
2017-06-15,8.548,,,,,,,,,,,,,
2017-06-16,8.693,,,,,,,,,,,,,
2017-06-19,9.056,,,,,,,,,,,,,
2017-06-20,8.894,,,,,,,,,,,,,
2017-06-21,9.125,,,,,,,,,,,,,
2017-06-22,9.137,,,,,,,,,,,,,
2017-06-23,9.448,,,,,,,,,,,,,
2017-06-26,9.204,,,,,,,,,,,,,
2017-06-27,8.704,,,,,,,,,,,,,
2017-06-28,8.952,,,,,,,,,,,,,
2017-06-29,8.64,,,,,,,,,,,,,
2017-06-30,8.69,,,,,,,,,,,,,
2017-07-03,8.6,,,,,,,,,,,,,
2017-07-05,8.811,,,,,,,,,,,,,
2017-07-06,8.621,,,,,,,,,,,,,
2017-07-07,8.899,,,,,,,,,,,,,
2017-07-10,9.099,,,,,,,,,,,,,
2017-07-11,9.129,,,,,,,,,,,,,
2017-07-12,9.468,,,,,,,,,,,,,
2017-07-13,9.302,,,,,,,,,,,,,
2017-07-14,9.241,,,,,,,,,,,,,
2017-07-17,9.049,,,,,,,,,,,,,
2017-07-18,9.318,,,,,,,,,,,,,
2017-07-19,9.19,,,,,,,,,,,,,
2017-07-20,9.087,,,,,,,,,,,,,
2017-07-21,8.942,,,,,,,,,,,,,
2017-07-24,9.361,,,,,,,,,,,,,
2017-07-25,9.216,,,,,,,,,,,,,
2017-07-26,9.392,,,,,,,,,,,,,
2017-07-27,9.043,,,,,,,,,,,,,
2017-07-28,9.298,,,,,,,,,,,,,
2017-07-31,9.237,,,,,,,,,,,,,
2017-08-01,10.408,,,,,,,,,,,,,
2017-08-02,9.835,,,,,,,,,,,,,
2017-08-03,9.716,,,,,,,,,,,,,
2017-08-04,9.628,,,,,,,,,,,,,
2017-08-07,9.779,,,,,,,,,,,,,
2017-08-08,9.651,,,,,,,,,,,,,
2017-08-09,9.519,,,,,,,,,,,,,
2017-08-10,8.84,,,,,,,,,,,,,
2017-08-11,9.171,,,,,,,,,,,,,
2017-08-14,9.406,,,,,,,,,,,,,
2017-08-15,9.315,,,,,,,,,,,,,
2017-08-16,9.461,,,,,,,,,,,,,
2017-08-17,9.35,,,,,,,,,,,,,
2017-08-18,9.458,,,,,,,,,,,,,
2017-08-21,9.627,,,,,,,,,,,,,
2017-08-22,9.861,,,,,,,,,,,,,
2017-08-23,10.246,,,,,,,,,,,,,
2017-08-24,10.653,,,,,,,,,,,,,
2017-08-25,10.374,,,,,,,,,,,,,
2017-08-28,10.379,,,,,,,,,,,,,
