date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
2004-05-25,15.88,,,,,,,,,,,,,
2004-05-26,15.95,,,,,,,,,,,,,
2004-05-27,16.01,,,,,,,,,,,,,
2004-05-28,16.0,,,,,,,,,,,,,
2004-06-01,16.5,,,,,,,,,,,,,
2004-06-02,17.35,,,,,,,,,,,,,
2004-06-03,17.48,,,,,,,,,,,,,
2004-06-04,17.15,,,,,,,,,,,,,
2004-06-07,17.24,,,,,,,,,,,,,
2004-06-08,17.3,,,,,,,,,,,,,
2004-06-09,17.01,,,,,,,,,,,,,
2004-06-10,16.45,,,,,,,,,,,,,
2004-06-14,16.06,,,,,,,,,,,,,
2004-06-15,16.78,,,,,,,,,,,,,
2004-06-16,16.9,,,,,,,,,,,,,
2004-06-17,16.75,,,,,,,,,,,,,
2004-06-18,16.65,,,,,,,,,,,,,
2004-06-21,16.7,,,,,,,,,,,,,
2004-06-22,16.8,,,,,,,,,,,,,
2004-06-23,16.74,,,,,,,,,,,,,
2004-06-24,16.69,,,,,,,,,,,,,
2004-06-25,16.71,,,,,,,,,,,,,
2004-06-28,16.5,,,,,,,,,,,,,
2004-06-29,16.55,,,,,,,,,,,,,
2004-06-30,16.6,,,,,,,,,,,,,
2004-07-01,16.7,,,,,,,,,,,,,
2004-07-02,16.94,,,,,,,,,,,,,
2004-07-06,16.71,,,,,,,,,,,,,
2004-07-07,16.43,,,,,,,,,,,,,
2004-07-08,16.49,,,,,,,,,,,,,
2004-07-09,16.33,,,,,,,,,,,,,
2004-07-12,16.18,,,,,,,,,,,,,
2004-07-13,15.88,,,,,,,,,,,,,
2004-07-14,15.73,,,,,,,,,,,,,
2004-07-15,15.85,,,,,,,,,,,,,
2004-07-16,15.94,,,,,,,,,,,,,
2004-07-19,16.02,,,,,,,,,,,,,
2004-07-20,16.17,,,,,,,,,,,,,
2004-07-21,15.86,,,,,,,,,,,,,
2004-07-22,15.75,,,,,,,,,,,,,
2004-07-23,15.52,,,,,,,,,,,,,
2004-07-26,15.36,,,,,,,,,,,,,
2004-07-27,15.27,,,,,,,,,,,,,
2004-07-28,15.13,,,,,,,,,,,,,
2004-07-29,15.23,,,,,,,,,,,,,
2004-07-30,15.3,,,,,,,,,,,,,
2004-08-02,15.61,,,,,,,,,,,,,
2004-08-03,15.71,,,,,,,,,,,,,
2004-08-04,15.76,,,,,,,,,,,,,
2004-08-05,15.65,,,,,,,,,,,,,
2004-08-06,15.38,,,,,,,,,,,,,
2004-08-09,15.3,,,,,,,,,,,,,
2004-08-10,15.51,,,,,,,,,,,,,
2004-08-11,15.6,,,,,,,,,,,,,
2004-08-12,15.19,,,,,,,,,,,,,
2004-08-13,15.6,,,,,,,,,,,,,
2004-08-16,15.95,,,,,,,,,,,,,
2004-08-17,15.8,,,,,,,,,,,,,
2004-08-18,15.88,,,,,,,,,,,,,
2004-08-19,15.69,,,,,,,,,,,,,
2004-08-20,15.94,,,,,,,,,,,,,
2004-08-23,15.85,,,,,,,,,,,,,
2004-08-24,16.05,,,,,,,,,,,,,
2004-08-25,15.93,,,,,,,,,,,,,
2004-08-26,15.8,,,,,,,,,,,,,
2004-08-27,15.59,,,,,,,,,,,,,
2004-08-30,15.34,,,,,,,,,,,,,
2004-08-31,15.5,,,,,,,,,,,,,
2004-09-01,15.68,,,,,,,,,,,,,
2004-09-02,15.6,,,,,,,,,,,,,
2004-09-03,15.55,,,,,,,,,,,,,
2004-09-07,15.9,,,,,,,,,,,,,
2004-09-08,15.69,,,,,,,,,,,,,
2004-09-09,15.71,,,,,,,,,,,,,
2004-09-10,15.6,,,,,,,,,,,,,
2004-09-13,15.55,,,,,,,,,,,,,
2004-09-14,15.59,,,,,,,,,,,,,
2004-09-15,15.29,,,,,,,,,,,,,
2004-09-16,15.7,,,,,,,,,,,,,
2004-09-17,15.57,,,,,,,,,,,,,
2004-09-20,15.75,,,,,,,,,,,,,
2004-09-21,15.81,,,,,,,,,,,,,
2004-09-22,15.74,,,,,,,,,,,,,
2004-09-23,15.87,,,,,,,,,,,,,
2004-09-24,15.67,,,,,,,,,,,,,
2004-09-27,15.72,,,,,,,,,,,,,
2004-09-28,15.68,,,,,,,,,,,,,
2004-09-29,15.79,,,,,,,,,,,,,
2004-09-30,14.6,,,,,,,,,,,,,
2004-10-01,14.36,,,,,,,,,,,,,
2004-10-04,14.26,,,,,,,,,,,,,
2004-10-05,14.04,,,,,,,,,,,,,
2004-10-06,14.12,,,,,,,,,,,,,
2004-10-07,14.1,,,,,,,,,,,,,
2004-10-08,14.11,,,,,,,,,,,,,
2004-10-11,14.4,,,,,,,,,,,,,
2004-10-12,14.58,,,,,,,,,,,,,
2004-10-13,14.8,,,,,,,,,,,,,
2004-10-14,14.2,,,,,,,,,,,,,
2004-10-15,14.36,,,,,,,,,,,,,
2004-10-18,14.25,,,,,,,,,,,,,
2004-10-19,14.14,,,,,,,,,,,,,
2004-10-20,14.3,,,,,,,,,,,,,
2004-10-21,14.18,,,,,,,,,,,,,
2004-10-22,13.85,,,,,,,,,,,,,
2004-10-25,13.7,,,,,,,,,,,,,
2004-10-26,13.58,,,,,,,,,,,,,
2004-10-27,13.48,,,,,,,,,,,,,
2004-10-28,12.79,,,,,,,,,,,,,
2004-10-29,13.02,,,,,,,,,,,,,
2004-11-01,13.4,,,,,,,,,,,,,
2004-11-02,13.15,,,,,,,,,,,,,
2004-11-03,13.25,,,,,,,,,,,,,
2004-11-04,13.17,,,,,,,,,,,,,
2004-11-05,12.68,,,,,,,,,,,,,
2004-11-08,12.55,,,,,,,,,,,,,
2004-11-09,12.48,,,,,,,,,,,,,
2004-11-10,12.5,,,,,,,,,,,,,
2004-11-11,12.55,,,,,,,,,,,,,
2004-11-12,12.75,,,,,,,,,,,,,
2004-11-15,13.07,,,,,,,,,,,,,
2004-11-16,12.98,,,,,,,,,,,,,
2004-11-17,12.84,,,,,,,,,,,,,
2004-11-18,12.75,,,,,,,,,,,,,
2004-11-19,12.56,,,,,,,,,,,,,
2004-11-22,12.86,,,,,,,,,,,,,
2004-11-23,12.88,,,,,,,,,,,,,
2004-11-24,12.8,,,,,,,,,,,,,
2004-11-26,12.7,,,,,,,,,,,,,
2004-11-29,12.85,,,,,,,,,,,,,
2004-11-30,12.9,,,,,,,,,,,,,
2004-12-01,12.63,,,,,,,,,,,,,
2004-12-02,12.55,,,,,,,,,,,,,
2004-12-03,12.7,,,,,,,,,,,,,
2004-12-06,12.86,,,,,,,,,,,,,
2004-12-07,12.9,,,,,,,,,,,,,
2004-12-08,13.1,,,,,,,,,,,,,
2004-12-09,13.15,,,,,,,,,,,,,
2004-12-10,13.7,,,,,,,,,,,,,
2004-12-13,14.0,,,,,,,,,,,,,
2004-12-14,14.0,,,,,,,,,,,,,
2004-12-15,13.9,,,,,,,,,,,,,
2004-12-16,13.98,,,,,,,,,,,,,
2004-12-17,14.0,,,,,,,,,,,,,
2004-12-20,14.08,,,,,,,,,,,,,
2004-12-21,14.68,,,,,,,,,,,,,
2004-12-22,14.95,,,,,,,,,,,,,
2004-12-23,14.89,,,,,,,,,,,,,
2004-12-27,14.95,,,,,,,,,,,,,
2004-12-28,14.89,,,,,,,,,,,,,
2004-12-29,14.35,,,,,,,,,,,,,
2004-12-30,14.26,,,,,,,,,,,,,
2004-12-31,14.35,,,,,,,,,,,,,
2005-01-03,13.95,,,,,,,,,,,,,
2005-01-04,13.81,,,,,,,,,,,,,
2005-01-05,13.35,,,,,,,,,,,,,
2005-01-06,13.31,,,,,,,,,,,,,
2005-01-07,13.2,,,,,,,,,,,,,
2005-01-10,14.03,,,,,,,,,,,,,
2005-01-11,13.0,,,,,,,,,,,,,
2005-01-12,13.35,,,,,,,,,,,,,
2005-01-13,13.4,,,,,,,,,,,,,
2005-01-14,13.49,,,,,,,,,,,,,
2005-01-18,13.47,,,,,,,,,,,,,
2005-01-19,13.44,,,,,,,,,,,,,
2005-01-20,13.17,,,,,,,,,,,,,
2005-01-21,13.09,,,,,,,,,,,,,
2005-01-24,13.05,,,,,,,,,,,,,
2005-01-25,12.93,,,,,,,,,,,,,
2005-01-26,12.94,,,,,,,,,,,,,
2005-01-27,12.77,,,,,,,,,,,,,
2005-01-28,12.66,,,,,,,,,,,,,
2005-01-31,12.72,,,,,,,,,,,,,
2005-02-01,12.7,,,,,,,,,,,,,
2005-02-02,12.72,,,,,,,,,,,,,
2005-02-03,13.0,,,,,,,,,,,,,
2005-02-04,13.01,,,,,,,,,,,,,
2005-02-07,12.99,,,,,,,,,,,,,
2005-02-08,12.85,,,,,,,,,,,,,
2005-02-09,12.8,,,,,,,,,,,,,
2005-02-10,12.88,,,,,,,,,,,,,
2005-02-11,12.57,,,,,,,,,,,,,
2005-02-14,12.45,,,,,,,,,,,,,
2005-02-15,12.3,,,,,,,,,,,,,
2005-02-16,12.31,,,,,,,,,,,,,
2005-02-17,12.27,,,,,,,,,,,,,
2005-02-18,12.38,,,,,,,,,,,,,
2005-02-22,12.26,,,,,,,,,,,,,
2005-02-23,12.31,,,,,,,,,,,,,
2005-02-24,12.34,,,,,,,,,,,,,
2005-02-25,12.39,,,,,,,,,,,,,
2005-02-28,12.1,,,,,,,,,,,,,
2005-03-01,12.28,,,,,,,,,,,,,
2005-03-02,12.24,,,,,,,,,,,,,
2005-03-03,12.5,,,,,,,,,,,,,
2005-03-04,12.65,,,,,,,,,,,,,
2005-03-07,12.4,,,,,,,,,,,,,
2005-03-08,12.52,,,,,,,,,,,,,
2005-03-09,12.4,,,,,,,,,,,,,
2005-03-10,12.37,,,,,,,,,,,,,
2005-03-11,12.25,,,,,,,,,,,,,
2005-03-14,12.11,,,,,,,,,,,,,
2005-03-15,12.01,,,,,,,,,,,,,
2005-03-16,11.85,,,,,,,,,,,,,
2005-03-17,12.55,,,,,,,,,,,,,
2005-03-18,12.55,,,,,,,,,,,,,
2005-03-21,12.55,,,,,,,,,,,,,
2005-03-22,12.54,,,,,,,,,,,,,
2005-03-23,12.4,,,,,,,,,,,,,
2005-03-24,12.62,,,,,,,,,,,,,
2005-03-28,12.58,,,,,,,,,,,,,
2005-03-29,12.38,,,,,,,,,,,,,
2005-03-30,12.65,,,,,,,,,,,,,
2005-03-31,12.65,,,,,,,,,,,,,
2005-04-01,12.67,,,,,,,,,,,,,
2005-04-04,13.06,,,,,,,,,,,,,
2005-04-05,13.03,,,,,,,,,,,,,
2005-04-06,13.57,,,,,,,,,,,,,
2005-04-07,13.62,,,,,,,,,,,,,
2005-04-08,13.52,,,,,,,,,,,,,
2005-04-11,13.35,,,,,,,,,,,,,
2005-04-12,13.41,,,,,,,,,,,,,
2005-04-13,13.3,,,,,,,,,,,,,
2005-04-14,12.95,,,,,,,,,,,,,
2005-04-15,12.8,,,,,,,,,,,,,
2005-04-18,13.01,,,,,,,,,,,,,
2005-04-19,13.11,,,,,,,,,,,,,
2005-04-20,12.85,,,,,,,,,,,,,
2005-04-21,12.89,,,,,,,,,,,,,
2005-04-22,12.63,,,,,,,,,,,,,
2005-04-25,12.8,,,,,,,,,,,,,
2005-04-26,12.8,,,,,,,,,,,,,
2005-04-27,12.85,,,,,,,,,,,,,
2005-04-28,12.68,,,,,,,,,,,,,
2005-04-29,12.88,,,,,,,,,,,,,
2005-05-02,12.75,,,,,,,,,,,,,
2005-05-03,12.85,,,,,,,,,,,,,
2005-05-04,12.92,,,,,,,,,,,,,
2005-05-05,13.01,,,,,,,,,,,,,
2005-05-06,12.93,,,,,,,,,,,,,
2005-05-09,13.0,,,,,,,,,,,,,
2005-05-10,12.88,,,,,,,,,,,,,
2005-05-11,12.6,,,,,,,,,,,,,
2005-05-12,12.58,,,,,,,,,,,,,
2005-05-13,12.59,,,,,,,,,,,,,
2005-05-16,12.26,,,,,,,,,,,,,
2005-05-17,12.0,,,,,,,,,,,,,
2005-05-18,12.1,,,,,,,,,,,,,
2005-05-19,12.1,,,,,,,,,,,,,
2005-05-20,12.15,,,,,,,,,,,,,
2005-05-23,12.51,,,,,,,,,,,,,
2005-05-24,12.51,,,,,,,,,,,,,
2005-05-25,12.43,,,,,,,,,,,,,
2005-05-26,12.4,,,,,,,,,,,,,
2005-05-27,12.45,,,,,,,,,,,,,
2005-05-31,12.32,,,,,,,,,,,,,
2005-06-01,12.5,,,,,,,,,,,,,
2005-06-02,12.58,,,,,,,,,,,,,
2005-06-03,12.61,,,,,,,,,,,,,
2005-06-06,12.77,,,,,,,,,,,,,
2005-06-07,12.67,,,,,,,,,,,,,
2005-06-08,12.7,,,,,,,,,,,,,
2005-06-09,12.95,,,,,,,,,,,,,
2005-06-10,13.03,,,,,,,,,,,,,
2005-06-13,13.06,,,,,,,,,,,,,
2005-06-14,13.2,,,,,,,,,,,,,
2005-06-15,13.1,,,,,,,,,,,,,
2005-06-16,13.15,,,,,,,,,,,,,
2005-06-17,13.3,,,,,,,,,,,,,
2005-06-20,13.2,,,,,,,,,,,,,
2005-06-21,13.01,,,,,,,,,,,,,
2005-06-22,13.16,,,,,,,,,,,,,
2005-06-23,13.1,,,,,,,,,,,,,
2005-06-24,13.17,,,,,,,,,,,,,
2005-06-27,13.12,,,,,,,,,,,,,
2005-06-28,13.08,,,,,,,,,,,,,
2005-06-29,13.24,,,,,,,,,,,,,
2005-06-30,13.35,,,,,,,,,,,,,
2005-07-01,13.4,,,,,,,,,,,,,
2005-07-05,13.65,,,,,,,,,,,,,
2005-07-06,13.3,,,,,,,,,,,,,
2005-07-07,13.43,,,,,,,,,,,,,
2005-07-08,13.57,,,,,,,,,,,,,
2005-07-11,13.64,,,,,,,,,,,,,
2005-07-12,13.59,,,,,,,,,,,,,
2005-07-13,13.4,,,,,,,,,,,,,
2005-07-14,13.21,,,,,,,,,,,,,
2005-07-15,13.32,,,,,,,,,,,,,
2005-07-18,13.16,,,,,,,,,,,,,
2005-07-19,13.29,,,,,,,,,,,,,
2005-07-20,13.46,,,,,,,,,,,,,
2005-07-21,13.4,,,,,,,,,,,,,
2005-07-22,13.65,,,,,,,,,,,,,
2005-07-25,13.48,,,,,,,,,,,,,
2005-07-26,13.39,,,,,,,,,,,,,
2005-07-27,13.05,,,,,,,,,,,,,
2005-07-28,12.97,,,,,,,,,,,,,
2005-07-29,13.08,,,,,,,,,,,,,
2005-08-01,12.87,,,,,,,,,,,,,
2005-08-02,12.5,,,,,,,,,,,,,
2005-08-03,12.18,,,,,,,,,,,,,
2005-08-04,12.31,,,,,,,,,,,,,
2005-08-05,11.99,,,,,,,,,,,,,
2005-08-08,11.84,,,,,,,,,,,,,
2005-08-09,11.82,,,,,,,,,,,,,
2005-08-10,12.0,,,,,,,,,,,,,
2005-08-11,11.9,,,,,,,,,,,,,
2005-08-12,11.81,,,,,,,,,,,,,
2005-08-15,11.8,,,,,,,,,,,,,
2005-08-16,11.85,,,,,,,,,,,,,
2005-08-17,11.94,,,,,,,,,,,,,
2005-08-18,11.91,,,,,,,,,,,,,
2005-08-19,11.92,,,,,,,,,,,,,
2005-08-22,12.0,,,,,,,,,,,,,
2005-08-23,12.04,,,,,,,,,,,,,
2005-08-24,12.08,,,,,,,,,,,,,
2005-08-25,12.06,,,,,,,,,,,,,
2005-08-26,12.0,,,,,,,,,,,,,
2005-08-29,11.8,,,,,,,,,,,,,
2005-08-30,11.82,,,,,,,,,,,,,
2005-08-31,11.82,,,,,,,,,,,,,
2005-09-01,12.1,,,,,,,,,,,,,
2005-09-02,12.01,,,,,,,,,,,,,
2005-09-06,12.08,,,,,,,,,,,,,
2005-09-07,12.01,,,,,,,,,,,,,
2005-09-08,11.95,,,,,,,,,,,,,
2005-09-09,12.11,,,,,,,,,,,,,
2005-09-12,12.18,,,,,,,,,,,,,
2005-09-13,12.0,,,,,,,,,,,,,
2005-09-14,11.84,,,,,,,,,,,,,
2005-09-15,11.7,,,,,,,,,,,,,
2005-09-16,11.77,,,,,,,,,,,,,
2005-09-19,11.75,,,,,,,,,,,,,
2005-09-20,11.52,,,,,,,,,,,,,
2005-09-21,10.69,,,,,,,,,,,,,
2005-09-22,10.7,,,,,,,,,,,,,
2005-09-23,10.51,,,,,,,,,,,,,
2005-09-26,10.11,,,,,,,,,,,,,
2005-09-27,9.9,,,,,,,,,,,,,
2005-09-28,9.84,,,,,,,,,,,,,
2005-09-29,10.2,,,,,,,,,,,,,
2005-09-30,10.11,,,,,,,,,,,,,
2005-10-03,10.1,,,,,,,,,,,,,
2005-10-04,10.09,,,,,,,,,,,,,
2005-10-05,10.01,,,,,,,,,,,,,
2005-10-06,9.9,,,,,,,,,,,,,
2005-10-07,10.0,,,,,,,,,,,,,
2005-10-10,10.0,,,,,,,,,,,,,
2005-10-11,9.84,,,,,,,,,,,,,
2005-10-12,9.71,,,,,,,,,,,,,
2005-10-13,9.51,,,,,,,,,,,,,
2005-10-14,9.53,,,,,,,,,,,,,
2005-10-17,9.48,,,,,,,,,,,,,
2005-10-18,9.5,,,,,,,,,,,,,
2005-10-19,9.74,,,,,,,,,,,,,
2005-10-20,9.6,,,,,,,,,,,,,
2005-10-21,9.81,,,,,,,,,,,,,
2005-10-24,9.93,,,,,,,,,,,,,
2005-10-25,9.93,,,,,,,,,,,,,
2005-10-26,9.64,,,,,,,,,,,,,
2005-10-27,9.6,,,,,,,,,,,,,
2005-10-28,9.7,,,,,,,,,,,,,
2005-10-31,9.99,,,,,,,,,,,,,
2005-11-01,9.91,,,,,,,,,,,,,
2005-11-02,9.7,,,,,,,,,,,,,
2005-11-03,9.73,,,,,,,,,,,,,
2005-11-04,9.7,,,,,,,,,,,,,
2005-11-07,9.76,,,,,,,,,,,,,
2005-11-08,9.63,,,,,,,,,,,,,
2005-11-09,9.67,,,,,,,,,,,,,
2005-11-10,9.84,,,,,,,,,,,,,
2005-11-11,9.8,,,,,,,,,,,,,
2005-11-14,9.47,,,,,,,,,,,,,
2005-11-15,8.78,,,,,,,,,,,,,
2005-11-16,8.63,,,,,,,,,,,,,
2005-11-17,8.27,,,,,,,,,,,,,
2005-11-18,8.56,,,,,,,,,,,,,
2005-11-21,8.48,,,,,,,,,,,,,
2005-11-22,8.6,,,,,,,,,,,,,
2005-11-23,8.9,,,,,,,,,,,,,
2005-11-25,8.89,,,,,,,,,,,,,
2005-11-28,9.01,,,,,,,,,,,,,
2005-11-29,8.99,,,,,,,,,,,,,
2005-11-30,8.92,,,,,,,,,,,,,
2005-12-01,9.01,,,,,,,,,,,,,
2005-12-02,8.86,,,,,,,,,,,,,
2005-12-05,8.89,,,,,,,,,,,,,
2005-12-06,8.72,,,,,,,,,,,,,
2005-12-07,8.69,,,,,,,,,,,,,
2005-12-08,8.76,,,,,,,,,,,,,
2005-12-09,8.89,,,,,,,,,,,,,
2005-12-12,9.0,,,,,,,,,,,,,
2005-12-13,9.28,,,,,,,,,,,,,
2005-12-14,9.46,,,,,,,,,,,,,
2005-12-15,9.55,,,,,,,,,,,,,
2005-12-16,9.7,,,,,,,,,,,,,
2005-12-19,9.56,,,,,,,,,,,,,
2005-12-20,9.66,,,,,,,,,,,,,
2005-12-21,9.68,,,,,,,,,,,,,
2005-12-22,9.72,,,,,,,,,,,,,
2005-12-23,9.57,,,,,,,,,,,,,
2005-12-27,9.6,,,,,,,,,,,,,
2005-12-28,9.64,,,,,,,,,,,,,
2005-12-29,9.61,,,,,,,,,,,,,
2005-12-30,9.53,,,,,,,,,,,,,
2006-01-03,9.69,,,,,,,,,,,,,
2006-01-04,9.75,,,,,,,,,,,,,
2006-01-05,9.65,,,,,,,,,,,,,
2006-01-06,9.63,,,,,,,,,,,,,
2006-01-09,9.67,,,,,,,,,,,,,
2006-01-10,9.65,,,,,,,,,,,,,
2006-01-11,9.64,,,,,,,,,,,,,
2006-01-12,9.65,,,,,,,,,,,,,
2006-01-13,9.6,,,,,,,,,,,,,
2006-01-17,9.63,,,,,,,,,,,,,
2006-01-18,9.58,,,,,,,,,,,,,
2006-01-19,9.79,,,,,,,,,,,,,
2006-01-20,9.63,,,,,,,,,,,,,
2006-01-23,9.53,,,,,,,,,,,,,
2006-01-24,9.55,,,,,,,,,,,,,
2006-01-25,9.54,,,,,,,,,,,,,
2006-01-26,9.52,,,,,,,,,,,,,
2006-01-27,9.57,,,,,,,,,,,,,
2006-01-30,9.55,,,,,,,,,,,,,
2006-01-31,9.49,,,,,,,,,,,,,
2006-02-01,9.52,,,,,,,,,,,,,
2006-02-02,9.48,,,,,,,,,,,,,
2006-02-03,9.43,,,,,,,,,,,,,
2006-02-06,9.39,,,,,,,,,,,,,
2006-02-07,9.16,,,,,,,,,,,,,
2006-02-08,8.98,,,,,,,,,,,,,
2006-02-09,8.88,,,,,,,,,,,,,
2006-02-10,9.08,,,,,,,,,,,,,
2006-02-13,9.07,,,,,,,,,,,,,
2006-02-14,9.19,,,,,,,,,,,,,
2006-02-15,9.11,,,,,,,,,,,,,
2006-02-16,9.19,,,,,,,,,,,,,
2006-02-17,9.02,,,,,,,,,,,,,
2006-02-21,9.48,,,,,,,,,,,,,
2006-02-22,9.38,,,,,,,,,,,,,
2006-02-23,9.29,,,,,,,,,,,,,
2006-02-24,9.5,,,,,,,,,,,,,
2006-02-27,9.48,,,,,,,,,,,,,
2006-02-28,9.46,,,,,,,,,,,,,
2006-03-01,9.52,,,,,,,,,,,,,
2006-03-02,9.31,,,,,,,,,,,,,
2006-03-03,9.35,,,,,,,,,,,,,
2006-03-06,9.37,,,,,,,,,,,,,
2006-03-07,9.02,,,,,,,,,,,,,
2006-03-08,9.13,,,,,,,,,,,,,
2006-03-09,9.04,,,,,,,,,,,,,
2006-03-10,9.18,,,,,,,,,,,,,
2006-03-13,9.3,,,,,,,,,,,,,
2006-03-14,9.65,,,,,,,,,,,,,
2006-03-15,10.15,,,,,,,,,,,,,
2006-03-16,10.03,,,,,,,,,,,,,
2006-03-17,10.04,,,,,,,,,,,,,
2006-03-20,10.1,,,,,,,,,,,,,
2006-03-21,10.15,,,,,,,,,,,,,
2006-03-22,10.19,,,,,,,,,,,,,
2006-03-23,10.28,,,,,,,,,,,,,
2006-03-24,10.37,,,,,,,,,,,,,
2006-03-27,10.12,,,,,,,,,,,,,
2006-03-28,10.28,,,,,,,,,,,,,
2006-03-29,10.66,,,,,,,,,,,,,
2006-03-30,10.51,,,,,,,,,,,,,
2006-03-31,10.5,,,,,,,,,,,,,
2006-04-03,10.4,,,,,,,,,,,,,
2006-04-04,10.14,,,,,,,,,,,,,
2006-04-05,10.09,,,,,,,,,,,,,
2006-04-06,10.16,,,,,,,,,,,,,
2006-04-07,10.06,,,,,,,,,,,,,
2006-04-10,9.97,,,,,,,,,,,,,
2006-04-11,9.82,,,,,,,,,,,,,
2006-04-12,9.54,,,,,,,,,,,,,
2006-04-13,9.44,,,,,,,,,,,,,
2006-04-17,9.18,,,,,,,,,,,,,
2006-04-18,9.23,,,,,,,,,,,,,
2006-04-19,9.69,,,,,,,,,,,,,
2006-04-20,9.52,,,,,,,,,,,,,
2006-04-21,9.51,,,,,,,,,,,,,
2006-04-24,9.4,,,,,,,,,,,,,
2006-04-25,9.35,,,,,,,,,,,,,
2006-04-26,9.23,,,,,,,,,,,,,
2006-04-27,9.05,,,,,,,,,,,,,
2006-04-28,9.18,,,,,,,,,,,,,
2006-05-01,9.0,,,,,,,,,,,,,
2006-05-02,9.07,,,,,,,,,,,,,
2006-05-03,9.02,,,,,,,,,,,,,
2006-05-04,9.01,,,,,,,,,,,,,
2006-05-05,9.01,,,,,,,,,,,,,
2006-05-08,9.1,,,,,,,,,,,,,
2006-05-09,9.45,,,,,,,,,,,,,
2006-05-10,9.66,,,,,,,,,,,,,
2006-05-11,9.61,,,,,,,,,,,,,
2006-05-12,9.44,,,,,,,,,,,,,
2006-05-15,9.44,,,,,,,,,,,,,
2006-05-16,9.85,,,,,,,,,,,,,
2006-05-17,10.0,,,,,,,,,,,,,
2006-05-18,10.4,,,,,,,,,,,,,
2006-05-19,10.73,,,,,,,,,,,,,
2006-05-22,10.55,,,,,,,,,,,,,
2006-05-23,10.35,,,,,,,,,,,,,
2006-05-24,10.43,,,,,,,,,,,,,
2006-05-25,10.52,,,,,,,,,,,,,
2006-05-26,10.6,,,,,,,,,,,,,
